coolify-Abled	https://github.com/AbleVarghese/coolify-Abled	2026-08-11T23:41:49Z			An open-source, self-hostable PaaS alternative to Vercel, Heroku & Netlify that lets you easily deploy static sites, databases, full-stack applications and 280+ one-click services on your own servers.
crawlee-Abled	https://github.com/AbleVarghese/crawlee-Abled	2026-08-10T08:12:08Z			Crawlee—A web scraping and browser automation library for Node.js to build reliable crawlers. In JavaScript and TypeScript. Extract data for AI, LLMs, RAG, or GPTs. Download HTML, PDF, JPG, PNG, and other files from websites. Works with Puppeteer, Playwright, Cheerio, JSDOM, and raw HTTP. Both headful and headless mode. With proxy rotation.
crm-Abled	https://github.com/AbleVarghese/crm-Abled	2026-08-03T02:43:07Z			Fully featured, open source CRM
data-formulator-Abled	https://github.com/AbleVarghese/data-formulator-Abled	2026-09-14T14:03:14Z			🪄 Data Formulator is an interactive AI-powered data analysis system makes it easy to connect, explore and visualize data.
developer-roadmap-Abled	https://github.com/AbleVarghese/developer-roadmap-Abled	2026-06-30T03:31:55Z			Interactive roadmaps, guides and other educational content to help developers grow in their careers.
dify-Abled	https://github.com/AbleVarghese/dify-Abled	2026-02-14T16:45:01Z			Production-ready platform for agentic workflow development.
erpnext-Abled	https://github.com/AbleVarghese/erpnext-Abled	2026-09-16T23:50:44Z			Free and Open Source Enterprise Resource Planning (ERP)
full-stack-ai-agent-template-Abled	https://github.com/AbleVarghese/full-stack-ai-agent-template-Abled	2026-06-29T09:35:27Z			Full-stack AI app generator — FastAPI + Next.js with AI Agents, RAG, streaming, auth, and 20+ integrations out of the box.
funNLP-Abled	https://github.com/AbleVarghese/funNLP-Abled	2026-06-29T08:50:41Z			A comprehensive Chinese and multilingual NLP resource collection covering corpora, dictionaries, sensitive-word lists, language detection, information extraction, NER, sentiment analysis, text generation/summarization, speech recognition, OCR, knowledge graphs, pretrained models, datasets, annotation tools, and domain-specific applications.
grafana-Abled	https://github.com/AbleVarghese/grafana-Abled	2026-06-21T20:58:27Z			The open and composable observability and data visualization platform. Visualize metrics, logs, and traces from multiple sources like Prometheus, Loki, Elasticsearch, InfluxDB, Postgres and many more. 
homebrew-meetily-Abled	https://github.com/AbleVarghese/homebrew-meetily-Abled	2026-07-03T02:02:29Z			🍻 Homebrew formula for Meetily backend : A CLI workflow for the administration of macOS backend applications distributed as binaries. https://meetily.zackriya.com
homepage-Abled	https://github.com/AbleVarghese/homepage-Abled	2026-09-16T04:36:01Z			A highly customizable homepage (or startpage / application dashboard) with Docker and service API integrations.
impress.js	https://github.com/AbleVarghese/impress.js	2016-06-06T20:12:10Z	JavaScript		It's a presentation framework based on the power of CSS3 transforms and transitions in modern browsers and inspired by the idea behind prezi.com.
keralora.com	https://github.com/AbleVarghese/keralora.com	2026-08-09T01:16:21Z		b2b,international-trade,marketplace	Invite-only B2B spice trade, Kerala → Canada, with three-wall buyer↔seller anonymity. Public face of the private platform.
kubeshark-Abled	https://github.com/AbleVarghese/kubeshark-Abled	2026-06-29T09:19:18Z			eBPF-powered network observability for Kubernetes. Indexes L4/L7 traffic with full K8s context, decrypts TLS without keys. Queryable by AI agents via MCP and humans via dashboard.
langchain-Abled	https://github.com/AbleVarghese/langchain-Abled	2026-02-14T16:46:31Z			🦜🔗 The platform for reliable agents.
langflow-Abled	https://github.com/AbleVarghese/langflow-Abled	2026-02-14T16:47:50Z			Langflow is a powerful tool for building and deploying AI-powered agents and workflows.
langfuse-Abled	https://github.com/AbleVarghese/langfuse-Abled	2026-06-29T08:09:02Z			🪢 Open source AI engineering platform: LLM evals, observability, metrics, prompt management, playground, datasets. Integrates with OpenTelemetry, LangChain, OpenAI SDK, LiteLLM, and more. 🍊YC W23 
laravel-crm-Abled	https://github.com/AbleVarghese/laravel-crm-Abled	2026-08-03T02:45:09Z			Free & Opensource Laravel CRM solution for SMEs and Enterprises for complete customer lifecycle management.
lawyerserved.com	https://github.com/AbleVarghese/lawyerserved.com	2026-08-09T01:21:50Z		legal-tech,marketplace,meilisearch,nextjs	North America's transparent legal directory: 1.47M+ lawyer profiles, double-blind marketplace. Public face of the private platform.
licentric.com	https://github.com/AbleVarghese/licentric.com	2026-08-09T01:21:49Z		ed25519,saas,software-licensing,stripe	Licensing & monetization for the AI era: license keys to AI-agent tokens. Ed25519 offline validation, zero-code Stripe mapping. Public face of the private platform.
litellm-Abled	https://github.com/AbleVarghese/litellm-Abled	2026-06-09T18:05:36Z			Python SDK, Proxy Server (AI Gateway) to call 100+ LLM APIs in OpenAI (or native) format, with cost tracking, guardrails, loadbalancing and logging. [Bedrock, Azure, OpenAI, VertexAI, Cohere, Anthropic, Sagemaker, HuggingFace, VLLM, NVIDIA NIM]
macro-Abled	https://github.com/AbleVarghese/macro-Abled	2026-08-16T00:47:00Z			Macro is a unified workspace for teams: email, chat, docs, tasks, agents, calls, and CRM — @-linked together with shared AI memory.
maka-Abled	https://github.com/AbleVarghese/maka-Abled	2026-09-14T14:03:35Z			Apache Maka (Incubating) is a high-performance agent workspace that keeps a complete record of everything it did.
meilisearch-Abled	https://github.com/AbleVarghese/meilisearch-Abled	2026-06-25T22:38:49Z			A lightning-fast search engine API bringing AI-powered hybrid search to your sites and applications.
monica-Abled	https://github.com/AbleVarghese/monica-Abled	2026-08-03T02:48:22Z			Personal CRM. Remember everything about your friends, family and business relationships.
n8n-Abled	https://github.com/AbleVarghese/n8n-Abled	2026-03-18T15:46:32Z			Fair-code workflow automation platform with native AI capabilities. Combine visual building with custom code, self-host or cloud, 400+ integrations.
nacos-Abled	https://github.com/AbleVarghese/nacos-Abled	2026-07-14T03:21:44Z			an easy-to-use dynamic service discovery, configuration and service management platform for building AI cloud native applications.
obsidian-skills-Abled	https://github.com/AbleVarghese/obsidian-skills-Abled	2026-07-15T23:09:15Z			Agent skills for Obsidian. Teach your agent to use Obsidian CLI and open formats including Markdown, Bases, JSON Canvas.
open-design-Abled	https://github.com/AbleVarghese/open-design-Abled	2026-07-12T18:43:21Z			🎨 The open-source Claude Design alternative. 🖥️ Local-first desktop app. 🖼️ Your coding agent becomes the design engine: prototypes, landing pages, dashboards, slides, images & video — real files, HTML/PDF/PPTX/MP4 export. 🤖 Claude Code / Codex / Cursor / Gemini / OpenCode / Qwen & 20+ CLIs via BYOK.
openclaw-Abled2	https://github.com/AbleVarghese/openclaw-Abled2	2026-03-18T14:16:46Z			Your own personal AI assistant. Any OS. Any Platform. The lobster way. 🦞 
openlit-Abled	https://github.com/AbleVarghese/openlit-Abled	2026-08-26T04:19:34Z			Open source platform for AI Engineering: OpenTelemetry-native LLM Observability, GPU Monitoring, Guardrails, Evaluations, Prompt Management, Vault, Playground. 🚀💻 Integrates with 50+ LLM Providers, VectorDBs, Agent Frameworks and GPUs.
openwhispr-Abled	https://github.com/AbleVarghese/openwhispr-Abled	2026-08-29T11:40:45Z			Voice-to-text dictation app with local (Nvidia Parakeet/Whisper) and cloud models (BYOK). Privacy-first and available cross-platform.
ops-dashboard	https://github.com/AbleVarghese/ops-dashboard	2026-09-14T21:04:35Z	JavaScript	agents,claude-code,monitoring,sdlc,sse,zero-dependencies	Ops dashboard: monitors a project's git/tests/agents/lanes, serves at localhost:4650 (node server.mjs <project-path>)
qlib-Abled	https://github.com/AbleVarghese/qlib-Abled	2026-08-21T00:04:05Z			Qlib is an AI-oriented Quant investment platform that aims to use AI tech to empower Quant Research, from exploring ideas to implementing productions. Qlib supports diverse ML modeling paradigms, including supervised learning, market dynamics modeling, and RL, and is now equipped with https://github.com/microsoft/RD-Agent to automate R&D process.
ruflo-Abled	https://github.com/AbleVarghese/ruflo-Abled	2026-06-19T11:00:59Z			🌊 The leading agent meta-harness for Claude. Deploy intelligent multi-agent swarms, coordinate autonomous workflows, and build conversational AI systems. Features adaptive memory, self-learning swarm intelligence, RAG integration, and native Claude Code / Codex Integration
solveright.ai	https://github.com/AbleVarghese/solveright.ai	2026-08-09T01:21:52Z		decision-intelligence,decision-making,monte-carlo	Decision intelligence: 155 frameworks, deterministic scoring, Monte-Carlo verdicts (solvemax). Public face of the private platform.
transformers-Abled	https://github.com/AbleVarghese/transformers-Abled	2026-06-29T08:40:33Z			🤗 Transformers: the model-definition framework for state-of-the-art machine learning models in text, vision, audio, and multimodal models, for both inference and training. 
ui-ux-pro-max-skill-Abled	https://github.com/AbleVarghese/ui-ux-pro-max-skill-Abled	2026-07-05T19:43:14Z			An AI SKILL that provide design intelligence for building professional UI/UX multiple platforms
zed-Abled	https://github.com/AbleVarghese/zed-Abled	2026-06-29T05:25:07Z			Code at the speed of thought – Zed is a high-performance, multiplayer code editor from the creators of Atom and Tree-sitter.
